mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,split13_test_accuracy,split14_test_accuracy,split15_test_accuracy,split16_test_accuracy,split17_test_accuracy,split18_test_accuracy,split19_test_accuracy,split20_test_accuracy,split21_test_accuracy,split22_test_accuracy,split23_test_accuracy,split24_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,split5_test_f1_score,split6_test_f1_score,split7_test_f1_score,split8_test_f1_score,split9_test_f1_score,split10_test_f1_score,split11_test_f1_score,split12_test_f1_score,split13_test_f1_score,split14_test_f1_score,split15_test_f1_score,split16_test_f1_score,split17_test_f1_score,split18_test_f1_score,split19_test_f1_score,split20_test_f1_score,split21_test_f1_score,split22_test_f1_score,split23_test_f1_score,split24_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0.359048547744751,0.006180909593968753,0.005155267715454101,0.0020188245999738018,0.6,116,16,1,sqrt,6,0.01,"{'subsample': 0.6, 'n_estimators': 116, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6, 'learning_rate': 0.01}",0.95,0.975,0.9166666666666666,0.9666666666666667,0.9666666666666667,0.8833333333333333,0.925,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.9416666666666667,0.9583333333333334,0.9083333333333333,0.9333333333333333,0.9166666666666666,0.9666666666666667,0.95,0.975,0.9166666666666666,0.957983193277311,0.9243697478991597,0.957983193277311,0.9663865546218487,0.957983193277311,0.9159663865546218,0.9405602240896358,0.023960577028605868,7,0.9508196721311475,0.9752066115702479,0.9137931034482759,0.9666666666666667,0.967741935483871,0.8833333333333333,0.9256198347107438,0.9354838709677419,0.9166666666666666,0.9310344827586207,0.9411764705882353,0.9572649572649573,0.9043478260869565,0.9310344827586207,0.9137931034482759,0.9661016949152542,0.9482758620689655,0.9747899159663865,0.9152542372881356,0.9565217391304348,0.9203539823008849,0.9572649572649573,0.9666666666666667,0.959349593495935,0.9122807017543859,0.9396336947494548,0.024742640219555193,7
1.2475994396209718,0.03170394162688699,0.004269180297851563,0.0001945854284844409,0.6,66,11,1,,16,0.1,"{'subsample': 0.6, 'n_estimators': 66, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 16, 'learning_rate': 0.1}",0.95,0.9833333333333333,0.9083333333333333,0.9416666666666667,0.9666666666666667,0.8916666666666667,0.925,0.9416666666666667,0.925,0.9416666666666667,0.9583333333333334,0.95,0.8916666666666667,0.9333333333333333,0.9083333333333333,0.9666666666666667,0.9583333333333334,0.9666666666666667,0.9416666666666667,0.9495798319327731,0.957983193277311,0.9495798319327731,0.9411764705882353,0.957983193277311,0.9243697478991597,0.9412268907563026,0.02289546754086367,6,0.95,0.9833333333333333,0.9026548672566371,0.9411764705882353,0.9672131147540983,0.8907563025210085,0.926829268292683,0.943089430894309,0.9243697478991597,0.9391304347826087,0.957983193277311,0.9491525423728814,0.8888888888888888,0.9322033898305084,0.905982905982906,0.9655172413793104,0.9565217391304348,0.9666666666666667,0.9391304347826087,0.9473684210526315,0.9572649572649573,0.9482758620689655,0.9421487603305785,0.96,0.9243697478991597,0.9404011088499952,0.023585229569430256,6
0.08471879959106446,0.0038197103664845368,0.0034860897064208983,0.00020709485759101486,0.8,66,6,8,sqrt,2,0.01,"{'subsample': 0.8, 'n_estimators': 66, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 2, 'learning_rate': 0.01}",0.9416666666666667,0.95,0.9083333333333333,0.9083333333333333,0.9666666666666667,0.825,0.9,0.9,0.9,0.9083333333333333,0.925,0.95,0.9,0.8833333333333333,0.875,0.925,0.9333333333333333,0.9583333333333334,0.9,0.8907563025210085,0.8571428571428571,0.9243697478991597,0.9243697478991597,0.9411764705882353,0.9327731092436975,0.913156862745098,0.03176948718825839,19,0.9421487603305785,0.9516129032258065,0.905982905982906,0.912,0.967741935483871,0.8264462809917356,0.8983050847457628,0.9047619047619048,0.9016393442622951,0.905982905982906,0.926829268292683,0.9482758620689655,0.896551724137931,0.8813559322033898,0.8717948717948718,0.9256198347107438,0.9322033898305084,0.957983193277311,0.8983050847457628,0.8943089430894309,0.8571428571428571,0.9256198347107438,0.928,0.944,0.9310344827586207,0.9134258921812634,0.03203084519306697,19
0.3376199436187744,0.007939671247613791,0.003454437255859375,0.0005270662513419706,0.6,100,2,8,,2,0.05,"{'subsample': 0.6, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 2, 'learning_rate': 0.05}",0.95,0.9833333333333333,0.9166666666666666,0.9666666666666667,0.9583333333333334,0.8916666666666667,0.9333333333333333,0.925,0.9166666666666666,0.925,0.95,0.9333333333333333,0.9,0.9166666666666666,0.925,0.9583333333333334,0.9416666666666667,0.9666666666666667,0.925,0.9495798319327731,0.9495798319327731,0.957983193277311,0.957983193277311,0.9663865546218487,0.9243697478991597,0.9395686274509804,0.022360297996760564,10,0.95,0.9833333333333333,0.9137931034482759,0.9666666666666667,0.96,0.8907563025210085,0.9344262295081968,0.928,0.9152542372881356,0.9230769230769231,0.9491525423728814,0.9333333333333333,0.896551724137931,0.9166666666666666,0.9243697478991597,0.9572649572649573,0.9411764705882353,0.9661016949152542,0.9230769230769231,0.9482758620689655,0.9482758620689655,0.9565217391304348,0.9586776859504132,0.9672131147540983,0.9230769230769231,0.9390016817259074,0.02289728478555768,10
0.1266111469268799,0.0056431962298135584,0.0036202430725097655,0.00016653175766491695,0.8,116,6,8,log2,2,0.001,"{'subsample': 0.8, 'n_estimators': 116, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 2, 'learning_rate': 0.001}",0.925,0.9333333333333333,0.8833333333333333,0.875,0.8916666666666667,0.825,0.8666666666666667,0.8583333333333333,0.8083333333333333,0.8666666666666667,0.9,0.925,0.8666666666666667,0.8416666666666667,0.875,0.9,0.8833333333333333,0.8916666666666667,0.8666666666666667,0.8487394957983193,0.8487394957983193,0.907563025210084,0.8907563025210085,0.957983193277311,0.8739495798319328,0.8804425770308124,0.03334243290809674,25,0.928,0.9354838709677419,0.8852459016393442,0.8837209302325582,0.8976377952755905,0.832,0.8688524590163934,0.8682170542635659,0.8188976377952756,0.8666666666666667,0.9032258064516129,0.9243697478991597,0.8666666666666667,0.8429752066115702,0.8717948717948718,0.9047619047619048,0.8870967741935484,0.896,0.864406779661017,0.8571428571428571,0.847457627118644,0.9090909090909091,0.8976377952755905,0.959349593495935,0.8739495798319328,0.8836259374341343,0.03239945729796291,23
0.09800854682922364,0.003120948839834682,0.0035787200927734374,0.00014889077100936371,0.6,83,16,1,sqrt,2,0.001,"{'subsample': 0.6, 'n_estimators': 83, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 2, 'learning_rate': 0.001}",0.925,0.9416666666666667,0.8916666666666667,0.9,0.9166666666666666,0.825,0.875,0.8833333333333333,0.8416666666666667,0.875,0.9083333333333333,0.9333333333333333,0.875,0.8583333333333333,0.875,0.9166666666666666,0.9166666666666666,0.95,0.8916666666666667,0.8571428571428571,0.8571428571428571,0.8991596638655462,0.907563025210084,0.9327731092436975,0.9159663865546218,0.8947899159663865,0.031583101973451565,21,0.928,0.944,0.8925619834710744,0.9047619047619048,0.921875,0.8292682926829268,0.8760330578512396,0.890625,0.8503937007874016,0.8760330578512396,0.9105691056910569,0.9322033898305084,0.8760330578512396,0.859504132231405,0.8717948717948718,0.9193548387096774,0.9166666666666666,0.9508196721311475,0.8907563025210085,0.8661417322834646,0.8571428571428571,0.9016393442622951,0.912,0.9365079365079365,0.9137931034482759,0.897139160339128,0.030922071920978334,21
0.5351149368286133,0.01780952361290208,0.0034061336517333986,0.00018437220430076175,0.8,133,11,8,,2,0.001,"{'subsample': 0.8, 'n_estimators': 133, 'min_samples_split': 11, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 2, 'learning_rate': 0.001}",0.9,0.9583333333333334,0.8666666666666667,0.875,0.9083333333333333,0.85,0.9,0.875,0.9,0.8916666666666667,0.8916666666666667,0.9,0.8583333333333333,0.875,0.875,0.8666666666666667,0.8666666666666667,0.9083333333333333,0.8333333333333334,0.865546218487395,0.865546218487395,0.8991596638655462,0.907563025210084,0.907563025210084,0.8571428571428571,0.8841008403361345,0.02545649478966578,22,0.8888888888888888,0.9565217391304348,0.8461538461538461,0.8571428571428571,0.8990825688073395,0.8235294117647058,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.8785046728971962,0.8785046728971962,0.8888888888888888,0.8349514563106796,0.8571428571428571,0.8571428571428571,0.8461538461538461,0.8461538461538461,0.8990825688073395,0.8,0.8431372549019608,0.8431372549019608,0.8867924528301887,0.8990825688073395,0.8990825688073395,0.8349514563106796,0.8679579667905155,0.03221516734186792,24
2.262898817062378,0.06938351709262237,0.005233306884765625,0.000305139695358612,0.6,133,6,1,,11,0.05,"{'subsample': 0.6, 'n_estimators': 133, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 11, 'learning_rate': 0.05}",0.9333333333333333,0.975,0.9083333333333333,0.9333333333333333,0.9833333333333333,0.8916666666666667,0.9166666666666666,0.9333333333333333,0.925,0.9333333333333333,0.9666666666666667,0.95,0.9,0.925,0.9083333333333333,0.9416666666666667,0.95,0.9583333333333334,0.9333333333333333,0.957983193277311,0.9411764705882353,0.9495798319327731,0.9495798319327731,0.957983193277311,0.9159663865546218,0.9375574229691876,0.0226020282684809,16,0.9344262295081968,0.9752066115702479,0.905982905982906,0.9322033898305084,0.9836065573770492,0.8907563025210085,0.9180327868852459,0.9354838709677419,0.9230769230769231,0.9310344827586207,0.9661016949152542,0.9482758620689655,0.896551724137931,0.9230769230769231,0.9090909090909091,0.9391304347826087,0.9482758620689655,0.9586776859504132,0.9298245614035088,0.9572649572649573,0.9391304347826087,0.9482758620689655,0.95,0.959349593495935,0.9152542372881356,0.9367236321149812,0.023040299830514727,16
4.764810247421265,0.09641920534586834,0.006964597702026367,0.000337133939449703,0.8,183,2,1,,16,0.01,"{'subsample': 0.8, 'n_estimators': 183, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 16, 'learning_rate': 0.01}",0.9333333333333333,0.975,0.9,0.95,0.9583333333333334,0.8833333333333333,0.925,0.95,0.9083333333333333,0.9333333333333333,0.9666666666666667,0.9416666666666667,0.8916666666666667,0.9166666666666666,0.9166666666666666,0.9666666666666667,0.9583333333333334,0.9583333333333334,0.9333333333333333,0.9663865546218487,0.9411764705882353,0.9747899159663865,0.957983193277311,0.9411764705882353,0.9327731092436975,0.9392380952380952,0.02508068815499518,12,0.9354838709677419,0.9752066115702479,0.896551724137931,0.95,0.959349593495935,0.8833333333333333,0.928,0.9508196721311475,0.907563025210084,0.9310344827586207,0.9666666666666667,0.9401709401709402,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9655172413793104,0.9565217391304348,0.959349593495935,0.9298245614035088,0.9655172413793104,0.9401709401709402,0.9743589743589743,0.9586776859504132,0.944,0.9333333333333333,0.9389469381306813,0.025498602443501824,11
1.1468872928619385,0.014531856541930465,0.004307718276977539,0.000619313789283472,0.8,83,16,1,,16,0.001,"{'subsample': 0.8, 'n_estimators': 83, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 16, 'learning_rate': 0.001}",0.9166666666666666,0.975,0.9,0.95,0.95,0.8833333333333333,0.9166666666666666,0.9583333333333334,0.9083333333333333,0.9416666666666667,0.9666666666666667,0.95,0.8833333333333333,0.925,0.9166666666666666,0.9583333333333334,0.95,0.95,0.9333333333333333,0.957983193277311,0.9411764705882353,0.9747899159663865,0.9495798319327731,0.957983193277311,0.957983193277311,0.9389131652661064,0.02552100302309431,13,0.9193548387096774,0.9752066115702479,0.896551724137931,0.95,0.9523809523809523,0.8833333333333333,0.9193548387096774,0.959349593495935,0.907563025210084,0.9391304347826087,0.9666666666666667,0.9482758620689655,0.8793103448275862,0.9230769230769231,0.9166666666666666,0.9572649572649573,0.9482758620689655,0.9508196721311475,0.9298245614035088,0.9572649572649573,0.9391304347826087,0.9743589743589743,0.95,0.959349593495935,0.9572649572649573,0.9383910314269306,0.026030295149168936,13
